"I","L","S","% Full accident coverage","% Partial1 accident coverage","% Partial2 accident coverage","% Partial3 accident coverage","% Null accident coverage","NA"
168,16,10,2.64866310160428,11.4674240512263,0,85.8839128471694,0,10
168,16,50,2.0306377028345,11.8682829159187,0.330546265328874,85.7705331159179,0,10
168,16,100,1.79620499359276,13.9626448296482,0.356975734646274,83.8841744421128,0,10
168,16,150,1.4409255221599,11.7332275342346,0.340845616576775,86.4850013270288,0,10
168,16,200,1.48420217470403,12.8260032275996,0.205960715529681,85.4838338821667,0,10
270,16,10,2.03992869875223,15.9825649161936,0,81.9775063850542,0,10
270,16,50,1.90795205404953,12.8508941578923,0.0571428571428571,85.1840109309153,0,10
270,16,100,1.81055131712199,14.132131531532,0.106277630415561,83.9510395209305,0,10
270,16,150,1.74849304352772,13.6584947598342,0.14316547649881,84.4498467201392,0,10
270,16,200,1.79547823063162,14.3450893627167,0.213000691584685,83.646431715067,0,10
500,16,10,3.01309746035912,20.8899512088153,0,76.0969513308256,0,10
500,16,50,1.92825483476075,16.3665940041271,0.182901337792642,81.5222498233195,0,10
500,16,100,1.8195133334933,15.9150504048237,0.0256410256410256,82.2397952360419,0,10
500,16,150,1.80452094635479,16.1442955225033,0.0946572807840229,81.9565262503579,0,10
500,16,200,1.995515251763,17.6965710410017,0.052027027027027,80.2558866802083,0,10
900,16,10,1.88461962930048,18.668355213568,0,79.4470251571315,0,10
900,16,50,1.83497936760979,20.7132507398724,0.0958605664488017,77.355909326069,0,10
900,16,100,2.2985018248403,20.0980722959451,0.122819179957355,77.4806066992572,0,10
900,16,150,2.55788507160082,20.7620894810424,0.068770410875674,76.6112550364811,0,10
900,16,200,2.23576081343431,20.0516985199882,0.103767365893612,77.6087733006839,0,10
1500,16,10,2.91969514337663,23.0166241128433,0,74.0636807437801,0,10
1500,16,50,3.71009687476491,24.2009481715245,0.0862708719851577,72.0026840817255,0,10
1500,16,100,2.3995864950763,23.2734403699897,0.0175438596491228,74.3094292752849,0,10
1500,16,150,2.48484965642409,23.6783201764722,0.0757376575124481,73.7610925095912,0,10
1500,16,200,2.66688058218229,23.3945064362975,0.140030047979778,73.7985829335405,0,10
